Region,,ISO code,Language name,,# Datasets
Indonesia,,nkj,Nakai,,1
Indonesia,,nlc,Nalca,,4
Indonesia,,naa,Namla,,1
Indonesia,,npy,Napu,,2
Indonesia,,nsy,Nasal,,1
Indonesia,,nqm,Ndom,,1
Indonesia,,ndx,Nduga,,1
Indonesia,,nec,Nedebang,,1
Indonesia,,nxg,Ngad’a,,1
Indonesia,,nij,Ngaju,,7
Indonesia,,szb,Ngalum,,2
Indonesia,,map_bms,Ngapak Javanese,,1
Indonesia,,nbq,Nggem,,3
Indonesia,,kcd,Ngkâlmpw Kanum,,1
Indonesia,,nia,Nias,,8
Indonesia,,nil,Nila,,1
Indonesia,,nir,Nimboran,,1
Indonesia,,nxr,Ninggerum,,1
Indonesia,,nlk,Ninia Yali,,0
Indonesia,,nps,Nipsan,,0
Indonesia,,njs,Nisa,,0
Indonesia,,nks,North Asmat,,1
Indonesia,,yir,North Awyu,,1
Indonesia,,bcd,North Babar,,1
Indonesia,,max,North Moluccan Malay,,1
Indonesia,,kti,North Muyu,,1
Indonesia,,nni,North Nuaulu,,0
Indonesia,,nul,Nusa Laut,,1
Indonesia,,afz,Obokuitai,,1
Indonesia,,oia,Oirata,,1
Indonesia,,kqv,Okolod,,0
Indonesia,,oni,Onin,,1
Indonesia,,onx,Onin Based Pidgin,,0
Indonesia,,orz,Ormu,,1
Indonesia,,ury,Orya,,3
Indonesia,,osi,Osing,,0
Indonesia,,otd,Ot Danum,,1
Indonesia,,pdo,Padoe,,1
Indonesia,,pgu,Pagu,,1
Indonesia,,pku,Paku,,1
Indonesia,,ple,Palu’e,,1
Indonesia,,pmf,Pamona,,5
Indonesia,,psn,Panasuan,,1
Indonesia,,pnp,Pancana,,1
Indonesia,,pnc,Pannei,,0
Indonesia,,pas,Papasena,,1
Indonesia,,pmy,Papuan Malay,,0
Indonesia,,ppm,Papuma,,1
Indonesia,,yac,Pass Valley Yali,,1
Indonesia,,ptn,Patani,,1
Indonesia,,plh,Paulohi,,1
Indonesia,,pel,Pekal,,0
Indonesia,,ums,Pendau,,1
Indonesia,,wet,Perai,,1
Indonesia,,pea,Peranakan Indonesian,,2
Indonesia,,pey,Petjo,,0
Indonesia,,pmo,Pom,,1
Indonesia,,pns,Ponosakan,,0
Indonesia,,pud,Punan Aput,,0
Indonesia,,puf,Punan Merah,,0
Indonesia,,puc,Punan Merap,,0
Indonesia,,puj,Punan Tubu,,0
Indonesia,,pru,Puragi,,1
Indonesia,,put,Putoh,,0
Indonesia,,raz,Rahambuu,,1
Indonesia,,rjg,Rajong,,0
Indonesia,,lje,Rampi,,1
Indonesia,,lra,Rara Bakati’,,1
Indonesia,,rac,Rasawa,,1
Indonesia,,rth,Ratahan,,1
Indonesia,,rej,Rejang,,8
Indonesia,,reb,Rembong,,0
Indonesia,,ret,Reta,,1
Indonesia,,ran,Riantana,,1
Indonesia,,rir,Ribun,,0
Indonesia,,rgu,Rikou,,1
Indonesia,,riu,Riung,,0
Indonesia,,rmm,Roma,,1
Indonesia,,ror,Rongga,,1
Indonesia,,rnn,Roon,,1
Indonesia,,snv,Sa’ban,,1
Indonesia,,saj,Sahu,,1
Indonesia,,sjb,Sajau Basap,,0
Indonesia,,sgu,Salas,,1
Indonesia,,xmx,Salawati,,0
Indonesia,,sau,Saleman,,0
Indonesia,,loe,Saluan,,0
Indonesia,,tmj,Samarokena,,1
Indonesia,,scg,Sanggau,,0
Indonesia,,sxn,Sangir,,4
Indonesia,,spr,Saparua,,1
Indonesia,,spi,Saponi,,1
Indonesia,,sre,Sara Bakati’,,1
Indonesia,,sdu,Sarudu,,1
Indonesia,,sas,Sasak,,3
Indonesia,,srt,Sauri,,0
Indonesia,,sao,Sause,,1
Indonesia,,szw,Sawai,,1
Indonesia,,swr,Saweru,,1
Indonesia,,saw,Sawi,,1
Indonesia,,swt,Sawila,,1
Indonesia,,sbx,Seberuang,,0
Indonesia,,tvw,Sedoa,,1
Indonesia,,sge,Segai,,1
Indonesia,,hik,Seit-Kaitetu,,0
Indonesia,,lce,Sekak,,0
Indonesia,,skz,Sekar,,1
Indonesia,,skx,Seko Padang,,0
Indonesia,,sko,Seko Tengah,,1
Indonesia,,slu,Selaru,,1
Indonesia,,sly,Selayar,,1
Indonesia,,slg,Selungai Murut,,1
Indonesia,,sws,Seluwasan,,0
Indonesia,,sdq,Semandang,,0
Indonesia,,sbr,Sembakung Murut,,0
Indonesia,,etz,Semimi,,1
Indonesia,,xse,Sempan,,1
Indonesia,,set,Sentani,,1
Indonesia,,spb,Sepa,,1
Indonesia,,sve,Serili,,1
Indonesia,,srw,Serua,,1
Indonesia,,seu,Serui-Laut,,1
Indonesia,,sya,Siang,,1
Indonesia,,ski,Sika,,1
Indonesia,,tty,Sikaritai,,1
Indonesia,,skh,Sikule,,1
Indonesia,,wul,Silimo,,1
Indonesia,,smr,Simeulue,,1
Indonesia,,skv,Skou,,1
Indonesia,,kxq,Smärky Kanum,,1
Indonesia,,ssq,So’a,,2
Indonesia,,sob,Sobei,,1
Indonesia,,krz,Sota Kanum,,1
Indonesia,,tlt,Sou Nama,,1
Indonesia,,wha,Sou Upaa,,0
Indonesia,,mnx,Sougb,,2
Indonesia,,aws,South Awyu,,1
Indonesia,,lmf,South Lembata,,0
Indonesia,,kts,South Muyu,,1
Indonesia,,nxl,South Nuaulu,,3
Indonesia,,vbb,Southeast Babar,,1
Indonesia,,itd,Southern Tidung,,1
Indonesia,,sow,Sowanda,,1
Indonesia,,dmy,Sowari,,1
Indonesia,,szp,Suabo,,1
Indonesia,,szn,Sula,,0
Indonesia,,smw,Sumbawa,,1
Indonesia,,sun,Sunda,,54
Indonesia,,ymn,Sunum,,0
Indonesia,,swu,Suwawa,,0
Indonesia,,tby,Tabaru,,3
Indonesia,,tnm,Tabla,,1
Indonesia,,klw,Tado,,1
Indonesia,,rob,Tae’,,1
Indonesia,,mvv,Tagal Murut,,0
Indonesia,,aos,Taikat,,1
Indonesia,,pee,Taje,,1
Indonesia,,tdj,Tajio,,2
Indonesia,,tld,Talaud,,1
Indonesia,,tlv,Taliabu,,1
Indonesia,,tlk,Taloki,,1
Indonesia,,tln,Talondo’,,0
Indonesia,,tcg,Tamagario,,1
Indonesia,,tmn,Taman,,1
Indonesia,,xxt,Tambora,,1
Indonesia,,tml,Tamnim Citak,,1
Indonesia,,tcm,Tanahmerah,,1
Indonesia,,tni,Tandia,,1
Indonesia,,tkx,Tangko,,1
Indonesia,,tpf,Tarpia,,1
Indonesia,,tad,Tause,,1
Indonesia,,twy,Tawoyan,,1
Indonesia,,tve,Te’un,,1
Indonesia,,dmu,Tebi,,1
Indonesia,,tfo,Tefaro,,1
Indonesia,,kps,Tehit,,1
Indonesia,,twe,Teiwa,,1
Indonesia,,tvm,Tela-Masbuar,,1
Indonesia,,vkt,Tenggarong Kutai Malay,,0
Indonesia,,tes,Tengger,,1
Indonesia,,tev,Teor,,0
Indonesia,,twg,Tereweng,,1
Indonesia,,twu,Termanu,,3
Indonesia,,tft,Ternate,,1
Indonesia,,tmg,Ternateño,,1
Indonesia,,tet,Tetun,,14
Indonesia,,tvo,Tidore,,1
Indonesia,,txq,Tii,,1
Indonesia,,tti,Tobati,,1
Indonesia,,tlb,Tobelo,,3
Indonesia,,tlg,Tofanma,,1
Indonesia,,lbw,Tolaki,,1
Indonesia,,tdi,Tomadino,,1
Indonesia,,ttp,Tombelala,,0
Indonesia,,tom,Tombulu,,2
Indonesia,,txm,Tomini,,1
Indonesia,,tdn,Tondano,,1
Indonesia,,tnw,Tonsawang,,1
Indonesia,,txs,Tonsea,,1
Indonesia,,tnt,Tontemboan,,2
Indonesia,,toy,Topoiyo,,1
Indonesia,,sda,Toraja-Sa’dan,,3
Indonesia,,txe,Totoli,,1
Indonesia,,ttn,Towei,,1
Indonesia,,tip,Trimuris,,0
Indonesia,,kvz,Tsaukambo,,1
Indonesia,,tzn,Tugun,,1
Indonesia,,tuj,Tugutil,,0
Indonesia,,khc,Tukang Besi North,,1
Indonesia,,bhq,Tukang Besi South,,1
Indonesia,,tlu,Tulehu,,1
Indonesia,,trt,Tunggare,,1
Indonesia,,tjg,Tunjung,,1
Indonesia,,aoz,Uab Meto,,3
Indonesia,,udj,Ujir,,1
Indonesia,,ulm,Ulumanda’,,1
Indonesia,,ppk,Uma,,3
Indonesia,,xky,Uma’ Lasan,,0
Indonesia,,ulu,Uma’ Lung,,0
Indonesia,,mtg,Una,,2
Indonesia,,unz,Unde Kaili,,0
